review_id,text,rating,verified,product_id,ip_id,label
r1086,"TOP-NOTCH QUALITY!!!",5,0,p203,ip103,1
r1087,"Mediocre functionality",3,1,p246,ip146,0
r1088,"LOVE IT LOVE IT LOVE IT!!!",5,0,p203,ip103,1
r1089,"Poor durability",1,0,p247,ip147,0
r1090,"EXCELLENT ALL AROUND PRODUCT!!!",5,0,p203,ip103,1
r1091,"Decent value",3,0,p248,ip148,0
r1092,"PERFECT SOLUTION TO MY PROBLEM!",5,0,p203,ip103,1
r1093,"Not user-friendly",2,1,p249,ip149,0
r1094,"HIGHLY PLEASED!!!",5,0,p203,ip103,1
r1095,"Good entry-level option",4,0,p250,ip150,0
r1096,"BEST INVESTMENT I MADE!!!",5,0,p203,ip103,1
r1097,"Stopped working quickly",1,1,p251,ip151,0
r1098,"EXCELLENT BUY HAPPY CUSTOMER!",5,0,p203,ip103,1
r1099,"Meets needs adequately",3,0,p252,ip152,0
r1100,"PERFECT FOR EVERYDAY USE!!!",5,0,p203,ip103,1
r1101,"Subpar performance",2,1,p253,ip153,0
r1102,"EXCEEDED MY EXPECTATIONS!!!",5,0,p203,ip103,1
r1103,"Reliable product",4,0,p254,ip154,0
r1104,"BEST IN CLASS!!!",5,0,p203,ip103,1
r1105,"Poor instructions",1,1,p255,ip155,0
r1106,"HIGHLY RECOMMEND THIS SELLER!",5,0,p203,ip103,1
r1107,"Good quality",4,0,p256,ip156,0
r1108,"PERFECT PURCHASE DECISION!!!",5,0,p203,ip103,1
r1109,"Not durable",2,1,p257,ip157,0
r1110,"EXCELLENT FAST SHIPPING!!!",5,0,p203,ip103,1
r1111,"Average at best",3,0,p258,ip158,0
r1112,"BEST THING SINCE SLICED BREAD!",5,0,p203,ip103,1
r1113,"Slightly better than expected",3,1,p259,ip159,0
r1114,"PERFECT MATCH!!!",5,0,p203,ip103,1
r1115,"Poor quality control",1,0,p260,ip160,0
r1116,"EXCELLENT VALUE!!!",5,0,p203,ip103,1
r1117,"Decent for occasional use",3,0,p261,ip161,0
r1118,"WOW!!! JUST WOW!!!",5,0,p203,ip103,1
r1119,"Not as described",2,1,p262,ip162,0
r1120,"HIGHLY SATISFIED WITH QUALITY!",5,0,p203,ip103,1
r1121,"Good basic product",4,0,p263,ip163,0
r1122,"EXCELLENT PRODUCT DESIGN!!!",5,0,p203,ip103,1
r1123,"Broke easily",1,1,p264,ip164,0
r1124,"PERFECT FOR MY COLLECTION!!!",5,0,p203,ip103,1
r1125,"Fair performance",3,0,p265,ip165,0
r1126,"BEST PRODUCT OWNED!!!",5,0,p203,ip103,1
r1127,"Inferior materials",2,1,p266,ip166,0
r1128,"EXCELLENT USER EXPERIENCE!!!",5,0,p203,ip103,1
r1129,"Satisfied overall",4,0,p267,ip167,0
r1130,"PERFECT CHOICE!!!",5,0,p203,ip103,1
r1131,"Not worth it",1,1,p268,ip168,0
r1132,"HIGHLY RECOMMENDED PRODUCT!",5,0,p203,ip103,1
r1133,"Meets specifications",3,0,p269,ip169,0
r1134,"EXCELLENT QUALITY CONTROL!!!",5,0,p203,ip103,1
r1135,"Poor value",2,1,p270,ip170,0
r1136,"BEST DECISION I'VE MADE!!!",5,0,p203,ip103,1
r1137,"Functional and reliable",4,0,p271,ip171,0
r1138,"LOVE THIS ITEM!!!",5,0,p203,ip103,1
r1139,"Defective upon arrival",1,1,p272,ip172,0
r1140,"EXCELLENT PERFORMANCE!!!",5,0,p203,ip103,1
r1141,"Good for intended purpose",4,0,p273,ip173,0
r1142,"PERFECTLY MET MY NEEDS!!!",5,0,p203,ip103,1
r1143,"Substandard quality",2,1,p274,ip174,0
r1144,"HIGHLY PLEASED WITH PURCHASE!",5,0,p203,ip103,1
r1145,"Average functionality",3,0,p275,ip175,0
r1146,"BEST PRODUCT IN ITS CATEGORY!",5,0,p203,ip103,1
r1147,"Not reliable",1,1,p276,ip176,0
r1148,"EXCELLENT CUSTOMER SUPPORT!!!",5,0,p203,ip103,1
r1149,"Good but could be better",3,0,p277,ip177,0
r1150,"PERFECT FOR GIFTING!!!",5,0,p203,ip103,1
r1151,"Poor assembly required",2,1,p278,ip178,0
r1152,"WILL RECOMMEND TO EVERYONE!!!",5,0,p203,ip103,1
r1153,"Serves purpose well",4,0,p279,ip179,0
r1154,"EXCEEDED ALL REQUIREMENTS!!!",5,0,p203,ip103,1
r1155,"Not high-end",2,1,p280,ip180,0
r1156,"BEST PRODUCT EVER PURCHASED!",5,0,p203,ip103,1
r1157,"Adequate for needs",3,0,p281,ip181,0
r1158,"EXCELLENT BUILD QUALITY!!!",5,0,p203,ip103,1
r1159,"Inconsistent performance",2,1,p282,ip182,0
r1160,"PERFECT SOLUTION FOR YOU!",5,0,p203,ip103,1
r1161,"Good value proposition",4,0,p283,ip183,0
r1162,"HIGHLY SATISFIED CUSTOMER!",5,0,p203,ip103,1
r1163,"Broke after first use",1,1,p284,ip184,0
r1164,"EXCELLENT PRODUCT FEATURES!!!",5,0,p203,ip103,1
r1165,"Met basic needs",3,0,p285,ip185,0
r1166,"BEST PURCHASE OF THE MONTH!",5,0,p203,ip103,1
r1167,"Poor finish",2,1,p286,ip186,0
r1168,"LOVE EVERYTHING ABOUT THIS!!!",5,0,p203,ip103,1
r1169,"Functional design",3,0,p287,ip187,0
r1170,"EXCELLENT VALUE FOR MONEY!!!",5,0,p203,ip103,1
r1171,"Not as durable as expected",1,1,p288,ip188,0
r1172,"PERFECT FOR MY HOME!!!",5,0,p203,ip103,1
r1173,"Good but not perfect",3,0,p289,ip189,0
r1174,"HIGHLY RECOMMENDED TO FRIENDS!",5,0,p203,ip103,1
r1175,"Defective part",1,1,p290,ip190,0
r1176,"BEST DECISION YOU'LL MAKE!",5,0,p203,ip103,1
r1177,"Satisfactory performance",3,0,p291,ip191,0
r1178,"EXCELLENT PRODUCT DURABILITY!",5,0,p203,ip103,1
r1179,"Inferior workmanship",2,1,p292,ip192,0
r1180,"PERFECT FOR PROFESSIONAL USE!",5,0,p203,ip103,1
r1181,"Good for beginners",4,0,p293,ip193,0
r1182,"WOW AMAZING PRODUCT!!!",5,0,p203,ip103,1
r1183,"Not premium quality",2,1,p294,ip194,0
r1184,"EXCELLENT ALL AROUND VALUE!!!",5,0,p203,ip103,1
r1185,"Meets minimum requirements",3,0,p295,ip195,0
r1186,"BEST ITEM IN MY COLLECTION!",5,0,p203,ip103,1
r1187,"Poor customer service",1,1,p296,ip196,0
r1188,"PERFECT FIT FOR MY NEEDS!",5,0,p203,ip103,1
r1189,"Decent performance",3,0,p297,ip197,0
r1190,"EXCELLENT PRODUCT RELIABILITY!",5,0,p203,ip103,1
r1191,"Broke during normal use",1,1,p298,ip198,0
r1192,"HIGHLY RECOMMEND THIS BRAND!",5,0,p203,ip103,1
r1193,"Good enough",3,0,p299,ip199,0
r1194,"PERFECT CHOICE FOR BEGINNERS!",5,0,p203,ip103,1
r1195,"Not recommended",2,1,p300,ip200,0
r1196,"EXCELLENT PRODUCT PERFORMANCE!",5,0,p203,ip103,1
r1197,"Functional",3,0,p201,ip101,0
r1198,"PERFECT ADDITION TO MY SETUP!",5,0,p203,ip103,1
r1199,"Slightly damaged",2,1,p202,ip102,0
r1200,"HIGHLY PLEASED WITH QUALITY!",5,0,p203,ip103,1
